video_id,time,event,score
019d5b34_0,16.6,challenge,1.0
019d5b34_0,15.84,challenge,0.5
019d5b34_0,14.4,challenge,0.3333333333333333
019d5b34_0,10.4,challenge,0.25
019d5b34_0,11.08,challenge,0.2
019d5b34_0,15.16,challenge,0.16666666666666666
019d5b34_0,17.28,challenge,0.14285714285714285
019d5b34_0,13.0,challenge,0.125
019d5b34_0,11.76,challenge,0.1111111111111111
019d5b34_0,3.28,challenge,0.1
019d5b34_0,19.48,challenge,0.09090909090909091
019d5b34_0,9.72,challenge,0.08333333333333333
019d5b34_0,25.4,challenge,0.07692307692307693
019d5b34_0,13.72,challenge,0.07142857142857142
019d5b34_0,17.96,challenge,0.06666666666666667
019d5b34_0,23.12,challenge,0.0625
019d5b34_0,28.76,challenge,0.058823529411764705
019d5b34_0,1.28,challenge,0.05555555555555555
019d5b34_0,24.6,challenge,0.05263157894736842
019d5b34_0,4.72,challenge,0.05
019d5b34_0,20.16,challenge,0.047619047619047616
019d5b34_0,18.8,challenge,0.045454545454545456
019d5b34_0,8.96,challenge,0.043478260869565216
019d5b34_0,21.28,challenge,0.041666666666666664
019d5b34_0,3.96,challenge,0.04
019d5b34_0,1.96,challenge,0.038461538461538464
019d5b34_0,23.8,challenge,0.037037037037037035
019d5b34_0,27.68,challenge,0.03571428571428571
019d5b34_0,21.96,challenge,0.034482758620689655
019d5b34_0,0.6,challenge,0.03333333333333333
019d5b34_0,8.08,challenge,0.03225806451612903
019d5b34_0,7.4,challenge,0.03125
019d5b34_0,6.04,challenge,0.030303030303030304
019d5b34_0,26.08,challenge,0.029411764705882353
019d5b34_0,29.8,challenge,0.02857142857142857
019d5b34_0,6.72,challenge,0.027777777777777776
019d5b34_0,27.0,challenge,0.02702702702702703
019d5b34_0,16.52,throwin,1.0
019d5b34_0,10.4,throwin,0.5
019d5b34_0,13.04,throwin,0.3333333333333333
019d5b34_0,14.48,throwin,0.25
019d5b34_0,17.96,throwin,0.2
019d5b34_0,8.96,throwin,0.16666666666666666
019d5b34_0,4.16,throwin,0.14285714285714285
019d5b34_0,19.4,throwin,0.125
019d5b34_0,7.52,throwin,0.1111111111111111
019d5b34_0,2.72,throwin,0.1
019d5b34_0,5.6,throwin,0.09090909090909091
019d5b34_0,25.44,throwin,0.08333333333333333
019d5b34_0,27.64,throwin,0.07692307692307693
019d5b34_0,29.8,throwin,0.07142857142857142
019d5b34_0,0.24,throwin,0.06666666666666667
019d5b34_0,23.04,throwin,0.0625
019d5b34_0,20.96,throwin,0.058823529411764705
019d5b34_0,3.28,play,1.0
019d5b34_0,25.44,play,0.5
019d5b34_0,12.4,play,0.3333333333333333
019d5b34_0,1.4,play,0.25
019d5b34_0,4.84,play,0.2
019d5b34_0,2.28,play,0.16666666666666666
019d5b34_0,28.12,play,0.14285714285714285
019d5b34_0,21.72,play,0.125
019d5b34_0,8.08,play,0.1111111111111111
019d5b34_0,17.6,play,0.1
019d5b34_0,3.96,play,0.09090909090909091
019d5b34_0,9.36,play,0.08333333333333333
019d5b34_0,18.96,play,0.07692307692307693
019d5b34_0,0.72,play,0.07142857142857142
019d5b34_0,22.4,play,0.06666666666666667
019d5b34_0,27.44,play,0.0625
019d5b34_0,7.28,play,0.058823529411764705
019d5b34_0,23.92,play,0.05555555555555555
019d5b34_0,5.8,play,0.05263157894736842
019d5b34_0,18.28,play,0.05
019d5b34_0,6.6,play,0.047619047619047616
019d5b34_0,11.12,play,0.045454545454545456
